id,db_name,available_geos,available_periods,db_source
109,s_press,PRK+CYP+MUS+MNE+PNG+XKO+GHA+NER+ITA+POL+MKD+XCD+SVN+AND+SUR+ARM+GMB+TON+HRV+ROU+BIH+ECU+KEN+LSO+MDV+ISR+HUN+GIN+COM+CHL+CTU+MWI+SRB+MLT+PER+NPL+LBR+PAN+SEN+KGZ+JPN+HTI+BLZ+GEO+SLE+URY+CZE+CAN+NAM+TLS+DEU+ISL+CHE+SYC+LUX+JAM+LIE+LTU+CRI+PRT+IRL+FIN+EST+SWE+NZL+LVA+BEL+GBR+KOR+USA+BFA+MDA+AUS+TWN+CIV+CPV+ZAF+GUY+BTN+ESP+AUT+DOM+ARG+NLD+SVK+FRA+TTO+WSM+MNG+BGR+GNB+AFG+RUS+AZE+BLR+TJK+SDN+IND+TUR+PAK+HKG+LKA+COL+BRN+LBY+KHM+GNQ+SOM+SGP+PHL+KWT+VEN+NIC+ERI+IRN+TKM+MMR+CHN+VNM+CUB+IRQ+SYR+PSE+YEM+EGY+BHR+SAU+HND+DJI+OMN+BGD+LAO+ARE+ZWE+RWA+MAR+MLI+BRA+ZMB+GRC+BDI+UKR+GAB+TCD+ALB+FJI+CAF+TGO+AGO+MDG+MRT+PRY+BWA+TUN+COG+SLV+DNK+MYS+THA+DZA+UZB+UGA+SWZ+LBN+NGA+SSD+MEX+BOL+COD+GTM+TZA+KAZ+BEN+JOR+QAT+CMR+IDN+MOZ+ETH+NOR+XKX+CSS,2022+2025,Reporters without Borders
133,ssp_emiss_aimcge,BRA+CAN+CHN+CIS+IND+JPN+TUR+USA+XAF+XE25+XER+XLM+XME+XNF+XOC+XSA+XSE,2015+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
134,ssp_emiss_gcam4,Africa_Eastern+Africa_Northern+Africa_Southern+Africa_Western+Argentina+Australia_NZ+Brazil+Canada+Central America and Caribbean+Central Asia+China+Colombia+EU-12+EU-15+Europe_Eastern+Europe_Non_EU+European Free Trade Association+India+Indonesia+Japan+Mexico+Middle East+Pakistan+Russia+South Africa+South America_Northern+South America_Southern+South Asia+South Korea+Southeast Asia+Taiwan+USA,2015+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
135,ssp_emiss_image,BRA+CAN+CEU+CHN+EAF+INDIA+INDO+JAP+KOR+ME+MEX+NAF+OCE+RCAM+RSAF+RSAM+RSAS+RUS+SAF+SEAS+STAN+TUR+UKR+USA+WAF+WEU,2015+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
136,ssp_emiss_messglob,AFR+CPA+EEU+FSU+LAM+MEA+NAM+PAO+PAS+SAS+WEU,2015+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
137,ssp_emiss_remmag,AFR+CHN+EUR+IND+JPN+LAM+MEA+OAS+ROW+RUS+USA,2015+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
138,ssp_energy_aimcge,R5.2ASIA+R5.2LAM+R5.2MAF+R5.2OECD+R5.2REF+World,2005+2010+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
139,ssp_energy_gcam4,R5.2ASIA+R5.2LAM+R5.2MAF+R5.2OECD+R5.2REF+World,2005+2010+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
140,ssp_energy_image,R5.2ASIA+R5.2LAM+R5.2MAF+R5.2OECD+R5.2REF+World,2005+2010+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
141,ssp_energy_messglob,R5.2ASIA+R5.2LAM+R5.2MAF+R5.2OECD+R5.2REF+World,2005+2010+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
142,ssp_energy_remmag,R5.2ASIA+R5.2LAM+R5.2MAF+R5.2OECD+R5.2REF+World,2005+2010+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
143,ssp_energy_witchglob,R5.2ASIA+R5.2LAM+R5.2MAF+R5.2OECD+R5.2REF+World,2005+2010+2020+2030+2040+2050+2060+2070+2080+2090+2100,IPCC scenarios
144,ssp_gini,ABW+AFG+AGO+ALB+ARE+ARG+ARM+AUS+AUT+AZE+BDI+BEL+BEN+BFA+BGD+BGR+BHR+BHS+BIH+BLR+BLZ+BOL+BRA+BRB+BRN+BTN+BWA+CAF+CAN+CHE+CHL+CHN+CIV+CMR+COD+COG+COL+COM+CPV+CRI+CUB+CYP+CZE+DEU+DJI+DNK+DOM+DZA+ECU+EGY+ERI+ESP+EST+ETH+FIN+FJI+FRA+GAB+GBR+GEO+GHA+GIN+GMB+GNB+GNQ+GRC+GTM+GUY+HKG+HND+HRV+HTI+HUN+IDN+IND+IRL+IRN+IRQ+ISL+ISR+ITA+JAM+JOR+JPN+KAZ+KEN+KGZ+KHM+KOR+KWT+LAO+LBN+LBR+LBY+LCA+LKA+LSO+LTU+LUX+LVA+MAC+MAR+MDA+MDG+MDV+MEX+MKD+MLI+MLT+MMR+MNE+MNG+MOZ+MRT+MUS+MWI+MYS+NAM+NCL+NER+NGA+NIC+NLD+NOR+NPL+NZL+OMN+PAK+PAN+PER+PHL+PNG+POL+PRI+PRT+PRY+PSE+PYF+QAT+ROU+RUS+RWA+SAU+SDN+SEN+SGP+SLB+SLE+SLV+SOM+SRB+STP+SUR+SVK+SVN+SWE+SWZ+SYR+TCD+TGO+THA+TJK+TKM+TLS+TON+TTO+TUN+TUR+TWN+TZA+UGA+UKR+URY+USA+UZB+VCT+VEN+VNM+VUT+WSM+YEM+ZAF+ZMB+ZWE,2011+2012+2013+2014+2015+2016+2017+2018+2019+2020+2021+2022+2023+2024+2025+2026+2027+2028+2029+2030+2031+2032+2033+2034+2035+2036+2037+2038+2039+2040+2041+2042+2043+2044+2045+2046+2047+2048+2049+2050+2051+2052+2053+2054+2055+2056+2057+2058+2059+2060+2061+2062+2063+2064+2065+2066+2067+2068+2069+2070+2071+2072+2073+2074+2075+2076+2077+2078+2079+2080+2081+2082+2083+2084+2085+2086+2087+2088+2089+2090+2091+2092+2093+2094+2095+2096+2097+2098+2099+2100,IPCC scenarios
