Tipologia di imposta;Anno;Valore;Unita
IRPEF lavoro dipendente (irregolare);2016;2.8;Propensione (%)
IRPEF lavoro autonomo e impresa;2016;66.5;Propensione (%)
Addizionali locali IRPEF (lavoro dipendente);2016;7.1;Propensione (%)
IRES;2016;26.6;Propensione (%)
IVA;2016;26.1;Propensione (%)
IRAP;2016;18.8;Propensione (%)
LOCAZIONI;2016;9.4;Propensione (%)
CANONE RAI;2016;36.6;Propensione (%)
ACCISE sui prodotti energetici;2016;8.4;Propensione (%)
IMU-TASI;2016;26.37;Propensione (%)
Totale;2016;21.2;Propensione (%)
Totale al netto accise e IMU;2016;21.5;Propensione (%)
IRPEF lavoro dipendente (irregolare);2017;4338.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2017;33323.0;Entrate (milioni di euro)
Addizionali locali IRPEF (lavoro dipendente);2017;799.0;Entrate (milioni di euro)
IRES;2017;8655.0;Entrate (milioni di euro)
IVA;2017;35570.0;Entrate (milioni di euro)
IRAP;2017;5117.0;Entrate (milioni di euro)
LOCAZIONI;2017;729.0;Entrate (milioni di euro)
CANONE RAI;2017;240.0;Entrate (milioni di euro)
ACCISE sui prodotti energetici;2017;2077.0;Entrate (milioni di euro)
IMU-TASI;2017;4994.0;Entrate (milioni di euro)
Totale entrate tributarie;2017;95842.0;Entrate (milioni di euro)
Totale entrate tributarie (al netto accise e IMU);2017;88771.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2017;2928.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2017;8804.0;Entrate (milioni di euro)
Totale entrate contributive;2017;11731.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2017;107574.0;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2017;2.9;Propensione (%)
IRPEF lavoro autonomo e impresa;2017;68.0;Propensione (%)
Addizionali locali IRPEF (lavoro dipendente);2017;7.3;Propensione (%)
IRES;2017;23.7;Propensione (%)
IVA;2017;26.6;Propensione (%)
IRAP;2017;18.8;Propensione (%)
LOCAZIONI;2017;8.8;Propensione (%)
CANONE RAI;2017;9.9;Propensione (%)
ACCISE sui prodotti energetici;2017;10.7;Propensione (%)
IMU-TASI;2017;25.29;Propensione (%)
Totale;2017;20.9;Propensione (%)
Totale al netto accise e IMU;2017;21.2;Propensione (%)
IRPEF lavoro dipendente (irregolare);2018;4431.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2018;32939.0;Entrate (milioni di euro)
Addizionali locali IRPEF (lavoro dipendente);2018;797.0;Entrate (milioni di euro)
IRES;2018;7897.0;Entrate (milioni di euro)
IVA;2018;31523.0;Entrate (milioni di euro)
IRAP;2018;5202.0;Entrate (milioni di euro)
LOCAZIONI;2018;1052.0;Entrate (milioni di euro)
CANONE RAI;2018;239.0;Entrate (milioni di euro)
ACCISE sui prodotti energetici;2018;1498.0;Entrate (milioni di euro)
IMU-TASI;2018;5455.0;Entrate (milioni di euro)
Totale entrate tributarie;2018;91033.0;Entrate (milioni di euro)
Totale entrate tributarie (al netto accise e IMU);2018;84079.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2018;2940.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2018;9317.0;Entrate (milioni di euro)
Totale entrate contributive;2018;12257.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2018;103290.0;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2018;2.8;Propensione (%)
IRPEF lavoro autonomo e impresa;2018;67.5;Propensione (%)
Addizionali locali IRPEF (lavoro dipendente);2018;7.1;Propensione (%)
IRES;2018;21.4;Propensione (%)
IVA;2018;23.1;Propensione (%)
IRAP;2018;18.5;Propensione (%)
LOCAZIONI;2018;12.1;Propensione (%)
CANONE RAI;2018;10.8;Propensione (%)
ACCISE sui prodotti energetici;2018;7.8;Propensione (%)
IMU-TASI;2018;22.7;Propensione (%)
Totale;2018;19.3;Propensione (%)
Totale al netto accise e IMU;2018;19.6;Propensione (%)
IRPEF lavoro dipendente (irregolare);2019;4589.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2019;32447.0;Entrate (milioni di euro)
Addizionali locali IRPEF (lavoro dipendente);2019;803.0;Entrate (milioni di euro)
IRES;2019;8655.0;Entrate (milioni di euro)
IVA;2019;27536.0;Entrate (milioni di euro)
IRAP;2019;4946.0;Entrate (milioni di euro)
LOCAZIONI;2019;945.0;Entrate (milioni di euro)
CANONE RAI;2019;241.0;Entrate (milioni di euro)
ACCISE sui prodotti energetici;2019;1914.0;Entrate (milioni di euro)
IMU-TASI;2019;5462.0;Entrate (milioni di euro)
Totale entrate tributarie;2019;87538.0;Entrate (milioni di euro)
Totale entrate tributarie (al netto accise e IMU);2019;80162.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2019;2965.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2019;9719.0;Entrate (milioni di euro)
Totale entrate contributive;2019;12684.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2019;100222.0;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2019;2.8;Propensione (%)
IRPEF lavoro autonomo e impresa;2019;69.1;Propensione (%)
Addizionali locali IRPEF (lavoro dipendente);2019;7.0;Propensione (%)
IRES;2019;22.9;Propensione (%)
IVA;2019;20.2;Propensione (%)
IRAP;2019;17.9;Propensione (%)
LOCAZIONI;2019;11.0;Propensione (%)
CANONE RAI;2019;10.9;Propensione (%)
ACCISE sui prodotti energetici;2019;9.7;Propensione (%)
IMU-TASI;2019;22.8;Propensione (%)
Totale;2019;18.4;Propensione (%)
Totale al netto accise e IMU;2019;18.5;Propensione (%)
IRPEF lavoro dipendente (irregolare);2020;3855.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2020;28070.0;Entrate (milioni di euro)
Addizionali locali IRPEF (lavoro dipendente);2020;969.0;Entrate (milioni di euro)
IRES;2020;8109.0;Entrate (milioni di euro)
IVA;2020;22015.0;Entrate (milioni di euro)
IRAP;2020;4358.0;Entrate (milioni di euro)
LOCAZIONI;2020;526.0;Entrate (milioni di euro)
CANONE RAI;2020;248.0;Entrate (milioni di euro)
ACCISE sui prodotti energetici;2020;1722.0;Entrate (milioni di euro)
IMU-TASI;2020;5191.0;Entrate (milioni di euro)
Totale entrate tributarie;2020;74790.0;Entrate (milioni di euro)
Totale entrate tributarie (al netto accise e IMU);2020;67878.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2020;2547.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2020;8311.0;Entrate (milioni di euro)
Totale entrate contributive;2020;10858.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2020;85648.0;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2020;2.4;Propensione (%)
IRPEF lavoro autonomo e impresa;2020;69.3;Propensione (%)
Addizionali locali IRPEF (lavoro dipendente);2020;6.3;Propensione (%)
IRES;2020;23.7;Propensione (%)
IVA;2020;18.6;Propensione (%)
IRAP;2020;16.7;Propensione (%)
LOCAZIONI;2020;6.8;Propensione (%)
CANONE RAI;2020;11.2;Propensione (%)
ACCISE sui prodotti energetici;2020;10.8;Propensione (%)
IMU-TASI;2020;22.1;Propensione (%)
Totale;2020;17.0;Propensione (%)
Totale al netto accise e IMU;2020;17.0;Propensione (%)
IRPEF lavoro dipendente (irregolare);2021;3956.0;Entrate (milioni di euro)
IRPEF lavoro autonomo e impresa;2021;29574.0;Entrate (milioni di euro)
Addizionali locali IRPEF (lavoro dipendente);2021;683.0;Entrate (milioni di euro)
IRES;2021;7999.0;Entrate (milioni di euro)
IVA;2021;17817.0;Entrate (milioni di euro)
IRAP;2021;4736.0;Entrate (milioni di euro)
LOCAZIONI;2021;222.0;Entrate (milioni di euro)
CANONE RAI;2021;225.0;Entrate (milioni di euro)
ACCISE sui prodotti energetici;2021;1753.0;Entrate (milioni di euro)
IMU-TASI;2021;5055.0;Entrate (milioni di euro)
Totale entrate tributarie;2021;72021.0;Entrate (milioni di euro)
Totale entrate tributarie (al netto accise e IMU);2021;65212.0;Entrate (milioni di euro)
Entrate contributive carico lavoratore dipendente;2021;2475.0;Entrate (milioni di euro)
Entrate contributive carico datore di lavoro;2021;7915.0;Entrate (milioni di euro)
Totale entrate contributive;2021;10390.0;Entrate (milioni di euro)
Totale entrate tributarie e contributive;2021;82410.0;Entrate (milioni di euro)
IRPEF lavoro dipendente (irregolare);2021;2.3;Propensione (%)
IRPEF lavoro autonomo e impresa;2021;66.8;Propensione (%)
Addizionali locali IRPEF (lavoro dipendente);2021;5.8;Propensione (%)
IRES;2021;18.8;Propensione (%)
IVA;2021;13.6;Propensione (%)
IRAP;2021;15.9;Propensione (%)
LOCAZIONI;2021;2.9;Propensione (%)
CANONE RAI;2021;10.2;Propensione (%)
ACCISE sui prodotti energetici;2021;9.5;Propensione (%)
IMU-TASI;2021;21.4;Propensione (%)
Totale;2021;15.0;Propensione (%)
Totale al netto accise e IMU;2021;14.9;Propensione (%)
