"MODEL","SCENARIO","REGION","VARIABLE","UNIT",2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Solids|Coal","EJ/yr",19.4235,17.393,13.2651,1.2643000000000002,0.32680000000000003,0.11370000000000001,0.028499999999999998,0.0137,0.0083,0.0066,0.0052
"AIM/CGE","SSP1-19","R5.2ASIA","Final Energy|Transportation","EJ/yr",9.679499999999999,11.3521,14.930600000000002,12.4057,12.7838,12.8735,12.237099999999998,11.6788,10.8778,9.9673,8.988299999999999
"AIM/CGE","SSP1-19","R5.2ASIA","GDP|PPP","billion US$2005/yr",12547.985200000001,18590.4719,37310.9139,66063.3586,102765.1741,138220.8777,167914.8959,192392.1178,209468.0396,220238.4738,224744.42840000003
"AIM/CGE","SSP1-19","R5.2ASIA","Land Cover|Built-up Area","million ha",14.931399999999998,14.931399999999998,14.931399999999998,14.931399999999998,14.931399999999998,14.931399999999998,14.931399999999998,14.931399999999998,14.931399999999998,14.931399999999998,14.931399999999998
"AIM/CGE","SSP1-19","R5.2ASIA","Land Cover|Cropland","million ha",422.197,426.5448,430.5402,414.6234,408.41130000000004,391.7142,374.54679999999996,355.37239999999997,330.2244,305.61010000000005,277.5272
"AIM/CGE","SSP1-19","R5.2ASIA","Land Cover|Forest","million ha",504.2072,503.4683,506.0888,561.9189,610.8308,649.2446,694.3501,729.4927,763.5401999999999,788.6166000000001,819.3066999999999
"AIM/CGE","SSP1-19","R5.2ASIA","Land Cover|Pasture","million ha",579.3053,559.0999,520.5592,486.13970000000006,454.06950000000006,431.87659999999994,415.0307,404.2081,396.8795,390.5927,388.4819
"AIM/CGE","SSP1-19","R5.2ASIA","Population","million",3472.0678000000003,3657.7622,3937.2808,4101.106400000001,4158.1273,4106.4767,3957.6544000000004,3731.959,3448.6288000000004,3121.5692999999997,2769.4892
"AIM/CGE","SSP1-19","R5.2ASIA","Price|Carbon","US$2005/t CO2",0.0,0.0,0.0,185.8831,348.0209,564.406,1107.0734,1500.9719,1890.4973,1935.0627,2180.6816
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy","EJ/yr",127.1354,139.1647,161.56,125.7077,124.25999999999999,127.4353,118.83479999999999,113.3621,105.64819999999999,98.14930000000001,89.71520000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Biomass","EJ/yr",23.6708,22.510199999999998,20.0214,18.8535,21.772,22.1801,23.071199999999997,22.8666,21.1546,19.7965,18.3731
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Biomass|w/ CCS","EJ/yr",0.0,0.0,0.0,0.0363,2.3536,6.806,10.0318,11.7378,11.995099999999999,12.295800000000002,12.271999999999998
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Biomass|w/o CCS","EJ/yr",23.6708,22.510199999999998,20.0214,18.8171,19.4184,15.374,13.0393,11.1288,9.1596,7.5005999999999995,6.1011
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Coal","EJ/yr",59.1522,65.62559999999999,76.1428,26.3083,14.153,14.2484,5.6855,3.5201000000000002,2.3454,2.0857,1.5862000000000003
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Coal|w/ CCS","EJ/yr",0.0,0.0,0.0,1.6276,5.0851999999999995,10.1418,3.7544000000000004,2.1924,1.3575,1.2034,0.8642
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Coal|w/o CCS","EJ/yr",59.1522,65.62559999999999,76.1428,24.6807,9.0678,4.1065000000000005,1.9312,1.3276999999999999,0.9879,0.8821,0.7219
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Fossil","EJ/yr",100.2528,112.20479999999999,133.0662,76.8499,49.66250000000001,41.2126,20.5417,13.7737,9.704099999999999,8.6825,6.8173
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Fossil|w/ CCS","EJ/yr",0.0,0.0,0.0,2.473,11.9204,22.2481,11.3854,7.5394,5.159800000000001,4.7171,3.6453999999999995
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Fossil|w/o CCS","EJ/yr",100.2528,112.20479999999999,133.0662,74.3769,37.7419,18.9645,9.1563,6.234299999999999,4.5441,3.9652000000000003,3.1719
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Gas","EJ/yr",9.9576,11.174,13.5028,11.619299999999999,8.0108,6.9983,4.2816,3.2727000000000004,2.5372000000000003,2.4993,2.1048999999999998
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Gas|w/ CCS","EJ/yr",0.0,0.0,0.0,0.3895,2.5921,4.9695,3.3221999999999996,2.6033,2.0372000000000003,2.0332,1.7118
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Gas|w/o CCS","EJ/yr",9.9576,11.174,13.5028,11.229800000000001,5.4188,2.0286,0.9595,0.6694,0.5001,0.466,0.3931
